id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7483853,Funko POP Disney,Mummy Spirit #577,$7.40,$7.50,$12.00,,,,,,,,,$1.60,$8.09,$1.70,$8.29,$3.30,$12.99,889698421492,1,Haunted Mansion,,,,2019-01-01
7484051,Funko POP Disney,Mummy Woody #976,$5.53,$8.00,$9.02,,,,,,,,,$1.20,$6.09,$1.80,$8.79,$2.00,$9.89,889698501262,1,Pixar,,,,
7483916,Funko POP Disney,Mushu #630,$7.20,$10.00,$12.00,,,,,,,,,$1.60,$7.89,$2.80,$10.99,$3.30,$12.99,889698453271,5,Mulan,,,,
7483917,Funko POP Disney,Mushu #632,$14.61,$19.00,$22.50,,,,,,,,,$4.00,$15.99,$6.30,$20.99,$7.50,$24.99,889698457422,1,Mulan,,,,
7483914,Funko POP Disney,Mushu [Diamond] #630,$7.76,$11.00,$12.93,,,,,,,,,$1.70,$8.49,$3.00,$11.99,$3.50,$13.99,889698463768,1,Mulan,,,,
7473754,Funko POP Disney,Mushu and Cricket #167,$10.01,$14.67,$16.34,,,,,,,,,$2.80,$10.99,$4.00,$15.99,$4.50,$17.99,849803058982,1,Mulan,,,,2015-01-01
7473755,Funko POP Disney,Mushu and Cricket [Metallic Gold] #167,$8.00,$10.00,$16.99,,,,,,,,,$1.80,$8.79,$2.80,$10.99,$4.80,$18.99,849803071110,1,Mulan,,,,2015-01-01
7483754,Funko POP Disney,Nala #497,$5.28,$16.50,$24.44,,,,,,,,,$1.20,$5.79,$4.50,$17.99,$8.10,$26.99,889698364003,1,The Lion King,,,,2018-01-01
7488100,Funko POP Disney,Namaari #1001,$4.89,$8.00,$8.06,,,,,,,,,$1.10,$5.39,$1.80,$8.79,$1.80,$8.89,889698505529,1,Raya and The Last Dragon,,,,2021-01-01
7474028,Funko POP Disney,Negaduck #299,$12.00,$17.00,$20.00,,,,,,,,,$3.30,$12.99,$4.80,$18.99,$6.60,$21.99,889698132626,1,Darkwing Duck,,,,2017-01-01
7474029,Funko POP Disney,Negatron #300,$10.15,$11.68,$15.32,,,,,,,,,$2.80,$10.99,$3.30,$12.99,$4.30,$16.99,889698151054,1,Darkwing Duck,,,,2017-01-01
7473471,Funko POP Disney,Nemo #73,$12.32,$15.00,$18.84,,,,,,,,,$3.50,$13.99,$4.30,$16.99,$6.30,$20.99,849803037475,11,Disney/Pixar,,,,2013-01-01
7488251,Funko POP Disney,Netherlands #1125,$8.56,$11.00,$14.57,,,,,,,,,$1.90,$9.39,$3.00,$11.99,$4.00,$15.99,889698586078,1,It's a Small World,,,,
7473778,Funko POP Disney,Nick Wilde #186,$16.70,$25.37,$30.00,,,,,,,,,$4.50,$17.99,$8.40,$27.99,$9.90,$32.99,849803071493,1,Zootopia,,,,2016-01-01
7491165,Funko POP Disney,Nightmare Before Christmas 5 Pack,$13.26,$19.00,$22.10,,,,,,,,,$3.80,$14.99,$6.30,$20.99,$7.20,$23.99,889698664110,1,Nightmare Before Christmas. Blacklight,,,,2022-01-01
7473616,Funko POP Disney,Nightshade Sally #154,$8.08,$8.48,$13.44,,,,,,,,,$1.80,$8.89,$1.90,$9.29,$3.80,$14.99,849803058968,1,Nightmare Before Christmas,,,,2015-01-01
7488101,Funko POP Disney,Noi #1002,$1.00,$0.99,$5.32,,,,,,,,,,$2.99,,$2.99,$1.20,$5.89,889698505536,1,Raya and The Last Dragon,,,,2021-01-01
7483996,Funko POP Disney,Ogre #782,$21.00,$27.75,$45.83,,,,,,,,,$6.90,$22.99,$9.30,$30.99,$20.00,$49.99,889698478755,1,Adventures of the Gummi Bears,,,,2021-01-01
7473605,Funko POP Disney,Olaf #144,$11.29,$17.70,$18.40,,,,,,,,,$3.00,$11.99,$4.80,$18.99,$5.00,$19.99,849803056247,1,Frozen,,,,2015-01-01
7483862,Funko POP Disney,Olaf #583,$5.39,$6.25,$10.62,,,,,,,,,$1.20,$5.89,$1.40,$6.89,$3.00,$11.99,889698447089,1,Frozen II,,,,2019-01-01
7483885,Funko POP Disney,Olaf #603,$11.97,$15.02,$19.97,,,,,,,,,$3.30,$12.99,$4.30,$16.99,$6.60,$21.99,889698428484,1,Frozen II,,,,
7473480,Funko POP Disney,Olaf #79,$8.90,$9.00,$10.35,,,,,,,,,$2.00,$9.79,$2.00,$9.89,$2.80,$10.99,849803042585,10,Frozen,,,,2014-01-01
7491158,Funko POP Disney,Olaf / Elsa / Anna / Kristoff,$56.97,$81.00,$94.95,,,,,,,,,$25.20,$62.99,$35.60,$88.99,$52.00,$104.00,889698433242,1,Frozen 2,,,,
7483865,Funko POP Disney,Olaf [Diamond] #583,$5.26,$5.49,$8.89,,,,,,,,,$1.20,$5.79,$1.20,$5.99,$2.00,$9.79,889698447089,1,Frozen II,,,,2019-01-01
7473479,Funko POP Disney,Olaf [GITD] #79,$9.00,$13.00,$15.00,,,,,,,,,$2.00,$9.89,$3.50,$13.99,$4.30,$16.99,849803043940,1,Frozen,,,,2014-01-01
